vessel_imo,mmsi,start_date,end_date
9288722,240307000,2012-01-01 03:02:30+00:00,2020-05-25 12:14:09+00:00
9288734,215782000,2012-01-04 14:34:46+00:00,2024-04-03 10:20:12+00:00
9288746,215781000,2012-01-03 16:43:50+00:00,2022-12-13 13:47:35+00:00
9288851,229272000,2012-10-20 08:35:23+00:00,2018-12-22 05:23:59+00:00
9288899,224304000,2012-01-03 02:08:21+00:00,2019-01-23 07:26:16+00:00
9288930,273616650,2023-01-18 02:17:44+00:00,2024-08-31 21:53:15+00:00
9288980,273443330,2012-10-16 00:12:18+00:00,2024-08-29 12:11:33+00:00
9288992,273444330,2012-09-29 08:05:43+00:00,2024-08-26 21:04:27+00:00
9289001,273445330,2017-04-01 17:46:42+00:00,2024-08-31 23:55:42+00:00
9289518,311857000,2012-01-03 23:52:10+00:00,2023-02-02 02:28:03+00:00
9289520,311928000,2012-01-03 21:59:58+00:00,2023-02-01 03:06:26+00:00
9289532,311923000,2012-01-01 00:41:27+00:00,2023-02-26 14:39:16+00:00
9289738,636012522,2012-01-05 13:15:29+00:00,2022-01-05 14:07:13+00:00
9289752,538005422,2014-01-23 16:21:37+00:00,2023-03-04 18:59:27+00:00
9289776,538005423,2014-01-11 00:17:37+00:00,2023-02-19 09:33:18+00:00
9290309,229406000,2013-04-22 07:24:04+00:00,2022-10-24 09:34:52+00:00
9290335,240245000,2012-01-03 17:35:23+00:00,2023-02-05 08:06:02+00:00
9290373,271000817,2012-01-01 00:19:55+00:00,2018-08-03 12:16:09+00:00
9290517,247149200,2012-01-03 23:30:42+00:00,2023-02-18 12:14:34+00:00
9290828,538003816,2015-03-05 08:36:26+00:00,2023-03-03 10:07:04+00:00
9290921,311000501,2017-01-02 15:05:49+00:00,2022-01-17 15:26:19+00:00
9291250,636014307,2012-01-08 22:45:18+00:00,2022-06-28 16:49:08+00:00
9291640,311931000,2012-01-25 01:38:07+00:00,2023-02-13 19:10:05+00:00
9292034,636012318,2012-01-02 21:44:50+00:00,2024-01-09 22:36:21+00:00
9292046,636012690,2012-04-11 16:31:06+00:00,2024-01-04 04:50:14+00:00
9292058,636012691,2012-01-12 10:33:54+00:00,2024-01-03 04:59:47+00:00
9292060,636012908,2012-03-30 20:55:10+00:00,2024-01-13 12:59:05+00:00
9292199,271000818,2012-01-03 09:28:28+00:00,2018-08-14 14:55:36+00:00
9292204,636012647,2012-01-24 13:54:53+00:00,2024-01-06 12:28:39+00:00
9292503,311727000,2012-01-03 00:05:51+00:00,2022-04-12 15:37:03+00:00
9292577,352002725,2023-06-28 10:31:15+00:00,2024-08-31 22:45:14+00:00
9292589,563973000,2012-01-05 00:12:39+00:00,2021-08-04 04:14:36+00:00
9292620,311929000,2012-01-02 13:07:04+00:00,2023-03-09 23:36:13+00:00
9292838,403550000,2017-04-28 10:41:58+00:00,2023-06-04 07:34:44+00:00
