vessel_imo,flag,start_date,end_date
9249324,Liberia,2003-08-01,2003-08-01
9249324,Germany,2003-08-01,2019-05-01
9249324,Liberia,2019-05-01,2019-05-01
9249324,Germany,2019-05-01,2022-07-01
9249324,Liberia,2022-07-01,2024-03-01
9249324,Gabon,2024-03-01,
9250531,Greece,2004-03-01,2021-06-01
9250531,Marshall Islands,2021-06-01,2023-07-01
9250531,Palau (Republic of),2023-07-01,2024-03-01
9250531,Cook islands,2024-03-01,
9250543,Greece,2004-01-01,2021-05-01
9250543,Marshall Islands,2021-05-01,2023-07-01
9250543,Panama,2023-07-01,
9250892,Singapore,2003-03-01,2021-03-01
9250892,Vietnam,2021-03-01,2024-06-01
9250892,Sierra leone,2024-06-01,
9250907,Singapore,2003-05-01,2020-12-01
9250907,Panama,2020-12-01,2020-12-01
9250907,Not Known,2020-12-01,
9251274,Liberia,2003-06-01,2017-02-01
9251274,Saudi Arabia,2017-02-01,2022-11-01
9251274,Panama,2022-11-01,
9251456,Malta,2002-01-01,2004-06-01
9251456,Marshall Islands,2004-06-01,2004-06-01
9251456,Germany,2004-06-01,2019-10-01
9251456,Malta,2019-10-01,2019-10-01
9251456,Not Known,2019-10-01,2019-10-01
9251456,Germany,2019-10-01,2020-03-01
9251456,Panama,2020-03-01,
9251810,Isle of Man,2002-11-01,2013-01-01
9251810,Liberia,2013-01-01,2023-06-01
9251810,Panama,2023-06-01,
9252400,Panama,2002-01-01,2012-11-01
9252400,Greece,2012-11-01,2023-02-01
9252400,Cook islands,2023-02-01,
9252436,Italy,2003-06-01,2008-03-01
9252436,Bermuda,2008-03-01,2020-12-01
9252436,"Hong Kong, China",2020-12-01,
9253076,Singapore,2003-08-01,2021-03-01
9253076,Vietnam,2021-03-01,2024-08-01
9253076,Sierra leone,2024-08-01,
9253234,Norway (NIS),2003-04-01,2004-06-01
9253234,Marshall Islands,2004-06-01,2023-02-01
9253234,Gabon,2023-02-01,
9253313,Singapore,2003-01-01,2021-05-01
9253313,Liberia,2021-05-01,2024-03-01
9253313,Cook islands,2024-03-01,
9253325,Singapore,2004-01-01,2013-06-01
